genes,variables,statistic,p.value,parameter,method,padj
ADAMTS7,Calc.bin,1.71752879646721,0.190011454117684,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Collagen.bin,1.16800798294024,0.279810924712671,1,Kruskal-Wallis rank sum test,1
ADAMTS7,epmajor.3years,0.0894472085404139,0.764881095144518,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Fat.bin_10,13.7981201640161,0.000203539782875329,1,Kruskal-Wallis rank sum test,0.0651327305201053
ADAMTS7,Fat.bin_40,2.52581817975936,0.111996676485353,1,Kruskal-Wallis rank sum test,1
ADAMTS7,IPH.bin,0.285681667378452,0.59300120274528,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Macrophages.bin,4.33197232646397,0.0374028813641231,1,Kruskal-Wallis rank sum test,1
ADAMTS7,SMC.bin,0.169310508607744,0.680725308769163,1,Kruskal-Wallis rank sum test,1
ADK,Calc.bin,0.330869096523771,0.565147780151485,1,Kruskal-Wallis rank sum test,1
ADK,Collagen.bin,0.0772379167486351,0.781075993765469,1,Kruskal-Wallis rank sum test,1
ADK,epmajor.3years,0.603206969708058,0.437357031316028,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_10,0.104300519982511,0.746728632783241,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_40,0.436460892684246,0.508835596687959,1,Kruskal-Wallis rank sum test,1
ADK,IPH.bin,0.0834753810646992,0.772641784279693,1,Kruskal-Wallis rank sum test,1
ADK,Macrophages.bin,2.31092193135387,0.128467833497421,1,Kruskal-Wallis rank sum test,1
ADK,SMC.bin,0.00617528407202169,0.937364329070407,1,Kruskal-Wallis rank sum test,1
AP3M1,Calc.bin,0.666772446895388,0.414179147138621,1,Kruskal-Wallis rank sum test,1
AP3M1,Collagen.bin,2.5061550854172,0.113402310237712,1,Kruskal-Wallis rank sum test,1
AP3M1,epmajor.3years,0.00043159566672061,0.98342523573807,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_10,0.837714235915415,0.360051319792907,1,Kruskal-Wallis rank sum test,1
AP3M1,Fat.bin_40,0.296745167180706,0.585930140410605,1,Kruskal-Wallis rank sum test,1
AP3M1,IPH.bin,1.66821804939569,0.196497382128449,1,Kruskal-Wallis rank sum test,1
AP3M1,Macrophages.bin,0.100198490284715,0.75159156786686,1,Kruskal-Wallis rank sum test,1
AP3M1,SMC.bin,3.58539723767697,0.058289479119468,1,Kruskal-Wallis rank sum test,1
APOC1,Calc.bin,0.379124690257264,0.538072059927439,1,Kruskal-Wallis rank sum test,1
APOC1,Collagen.bin,1.26499831275039,0.260707094399766,1,Kruskal-Wallis rank sum test,1
APOC1,epmajor.3years,2.14089506831405,0.143418192115441,1,Kruskal-Wallis rank sum test,1
APOC1,Fat.bin_10,8.6255982088843,0.0033147156822252,1,Kruskal-Wallis rank sum test,1
APOC1,Fat.bin_40,3.92516066662892,0.0475686447905503,1,Kruskal-Wallis rank sum test,1
APOC1,IPH.bin,0.185593302976241,0.666609864125974,1,Kruskal-Wallis rank sum test,1
APOC1,Macrophages.bin,4.0146312779787,0.0451070854974807,1,Kruskal-Wallis rank sum test,1
APOC1,SMC.bin,0.197715623452328,0.656571081723653,1,Kruskal-Wallis rank sum test,1
APOE,Calc.bin,0.0196768695550684,0.88844329644299,1,Kruskal-Wallis rank sum test,1
APOE,Collagen.bin,0.418224693639609,0.51782421944458,1,Kruskal-Wallis rank sum test,1
APOE,epmajor.3years,1.83243635076271,0.175840046747326,1,Kruskal-Wallis rank sum test,1
APOE,Fat.bin_10,7.16018868852649,0.00745393552235741,1,Kruskal-Wallis rank sum test,1
APOE,Fat.bin_40,3.49658250849817,0.0614956075576639,1,Kruskal-Wallis rank sum test,1
APOE,IPH.bin,0.581122984452097,0.445872483237535,1,Kruskal-Wallis rank sum test,1
APOE,Macrophages.bin,3.61120353023618,0.057391572114787,1,Kruskal-Wallis rank sum test,1
APOE,SMC.bin,0.418169730653702,0.517851728738705,1,Kruskal-Wallis rank sum test,1
ARID5B,Calc.bin,1.05401354528918,0.304584538786823,1,Kruskal-Wallis rank sum test,1
ARID5B,Collagen.bin,2.50118367870347,0.113760766545596,1,Kruskal-Wallis rank sum test,1
ARID5B,epmajor.3years,1.8370544447783,0.17529657706844,1,Kruskal-Wallis rank sum test,1
ARID5B,Fat.bin_10,0.287691199499785,0.591703876834823,1,Kruskal-Wallis rank sum test,1
ARID5B,Fat.bin_40,5.62632148628623,0.0176927217082306,1,Kruskal-Wallis rank sum test,1
ARID5B,IPH.bin,0.00784704290167781,0.929412892777912,1,Kruskal-Wallis rank sum test,1
ARID5B,Macrophages.bin,0.45439731648836,0.500254102217283,1,Kruskal-Wallis rank sum test,1
ARID5B,SMC.bin,8.73180952174982,0.00312706003696558,1,Kruskal-Wallis rank sum test,0.994405091755053
BCAM,Calc.bin,0.0198050454840638,0.888082928361286,1,Kruskal-Wallis rank sum test,1
BCAM,Collagen.bin,2.38264982150912,0.122689280485495,1,Kruskal-Wallis rank sum test,1
BCAM,epmajor.3years,6.00782197312706,0.0142425969085604,1,Kruskal-Wallis rank sum test,1
BCAM,Fat.bin_10,2.29646792583445,0.129668568306994,1,Kruskal-Wallis rank sum test,1
BCAM,Fat.bin_40,0.529644201010803,0.466756483167141,1,Kruskal-Wallis rank sum test,1
BCAM,IPH.bin,0.415302986137118,0.519290116792657,1,Kruskal-Wallis rank sum test,1
BCAM,Macrophages.bin,0.432808470849603,0.510614082404892,1,Kruskal-Wallis rank sum test,1
BCAM,SMC.bin,0.239236763787879,0.624757908367155,1,Kruskal-Wallis rank sum test,1
C12orf4,Calc.bin,0.137387944709985,0.710891681903987,1,Kruskal-Wallis rank sum test,1
C12orf4,Collagen.bin,3.81807544337326,0.0507024445134499,1,Kruskal-Wallis rank sum test,1
C12orf4,epmajor.3years,0.0324062825583105,0.857138868317522,1,Kruskal-Wallis rank sum test,1
C12orf4,Fat.bin_10,7.66831062933259,0.00561990497586957,1,Kruskal-Wallis rank sum test,1
C12orf4,Fat.bin_40,2.20078928573294,0.137940092083764,1,Kruskal-Wallis rank sum test,1
C12orf4,IPH.bin,0.0881823348751636,0.766500784227183,1,Kruskal-Wallis rank sum test,1
C12orf4,Macrophages.bin,1.26388771186805,0.260916480651722,1,Kruskal-Wallis rank sum test,1
C12orf4,SMC.bin,0.156280182381275,0.692604613185608,1,Kruskal-Wallis rank sum test,1
CAMK2G,Calc.bin,0.295935537125199,0.586441765608732,1,Kruskal-Wallis rank sum test,1
CAMK2G,Collagen.bin,0.74237225004623,0.38890201996883,1,Kruskal-Wallis rank sum test,1
CAMK2G,epmajor.3years,0.101704301697955,0.749793912639532,1,Kruskal-Wallis rank sum test,1
CAMK2G,Fat.bin_10,9.80138893199566,0.00174380114417165,1,Kruskal-Wallis rank sum test,0.556272564990756
CAMK2G,Fat.bin_40,1.58011898515878,0.208743555477752,1,Kruskal-Wallis rank sum test,1
CAMK2G,IPH.bin,0.179122469519759,0.67212846339555,1,Kruskal-Wallis rank sum test,1
CAMK2G,Macrophages.bin,0.0732526513483203,0.786658489865181,1,Kruskal-Wallis rank sum test,1
CAMK2G,SMC.bin,0.15300127012714,0.695683579183469,1,Kruskal-Wallis rank sum test,1
CDKN2A,Calc.bin,0.850415249688787,0.356434892194669,1,Kruskal-Wallis rank sum test,1
CDKN2A,Collagen.bin,1.09901745074459,0.294481833932501,1,Kruskal-Wallis rank sum test,1
CDKN2A,epmajor.3years,0.811881090712898,0.36756468947188,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_10,0.851229236801502,0.35620482510588,1,Kruskal-Wallis rank sum test,1
CDKN2A,Fat.bin_40,0.145519957812396,0.70285394740807,1,Kruskal-Wallis rank sum test,1
CDKN2A,IPH.bin,0.0728450313711556,0.787238581963441,1,Kruskal-Wallis rank sum test,1
CDKN2A,Macrophages.bin,8.46285883401252,0.00362471690245424,1,Kruskal-Wallis rank sum test,1
CDKN2A,SMC.bin,0.0977995735347282,0.75448638359496,1,Kruskal-Wallis rank sum test,1
CDKN2B,Calc.bin,3.22094934759341,0.0727014547082299,1,Kruskal-Wallis rank sum test,1
CDKN2B,Collagen.bin,0.574786032088361,0.44836331786969,1,Kruskal-Wallis rank sum test,1
CDKN2B,epmajor.3years,1.29806890807375,0.25456626123822,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_10,0.986733752088145,0.320541986438405,1,Kruskal-Wallis rank sum test,1
CDKN2B,Fat.bin_40,0.0685626987831663,0.793441099005354,1,Kruskal-Wallis rank sum test,1
CDKN2B,IPH.bin,0.931158207517776,0.334562146327372,1,Kruskal-Wallis rank sum test,1
CDKN2B,Macrophages.bin,4.15072041903962,0.0416168141005018,1,Kruskal-Wallis rank sum test,1
CDKN2B,SMC.bin,2.09955329138502,0.14734218009715,1,Kruskal-Wallis rank sum test,1
CETP,Calc.bin,0.16140816540757,0.687863348638331,1,Kruskal-Wallis rank sum test,1
CETP,Collagen.bin,4.79150950169625,0.0286003514965549,1,Kruskal-Wallis rank sum test,1
CETP,epmajor.3years,0.33096223057304,0.565093040444652,1,Kruskal-Wallis rank sum test,1
CETP,Fat.bin_10,1.80095551110048,0.179597021158695,1,Kruskal-Wallis rank sum test,1
CETP,Fat.bin_40,3.16835099472089,0.0750782135384024,1,Kruskal-Wallis rank sum test,1
CETP,IPH.bin,0.0163977903266784,0.89810635200009,1,Kruskal-Wallis rank sum test,1
CETP,Macrophages.bin,1.85452714061422,0.173257777838991,1,Kruskal-Wallis rank sum test,1
CETP,SMC.bin,0.0295078891178869,0.863611586262687,1,Kruskal-Wallis rank sum test,1
CHRNA5,Calc.bin,0.722643703200004,0.395278093425943,1,Kruskal-Wallis rank sum test,1
CHRNA5,Collagen.bin,0.814282163639167,0.366857248645377,1,Kruskal-Wallis rank sum test,1
CHRNA5,epmajor.3years,0.0260702349093917,0.871728910318394,1,Kruskal-Wallis rank sum test,1
CHRNA5,Fat.bin_10,0.30347640864635,0.581711188243165,1,Kruskal-Wallis rank sum test,1
CHRNA5,Fat.bin_40,1.75649216006758,0.185062654602938,1,Kruskal-Wallis rank sum test,1
CHRNA5,IPH.bin,0.379849084434784,0.537684014863451,1,Kruskal-Wallis rank sum test,1
CHRNA5,Macrophages.bin,6.28078823053637,0.0122053800374021,1,Kruskal-Wallis rank sum test,1
CHRNA5,SMC.bin,3.47051840231165,0.0624717295032585,1,Kruskal-Wallis rank sum test,1
CHRNB4,Calc.bin,0.0496615700740433,0.823653216673451,1,Kruskal-Wallis rank sum test,1
CHRNB4,Collagen.bin,0.0342650752481556,0.853144107501092,1,Kruskal-Wallis rank sum test,1
CHRNB4,epmajor.3years,0.0134347108762849,0.907725296674724,1,Kruskal-Wallis rank sum test,1
CHRNB4,Fat.bin_10,2.95097017820116,0.0858260203422775,1,Kruskal-Wallis rank sum test,1
CHRNB4,Fat.bin_40,0.0693743008032437,0.792249984688228,1,Kruskal-Wallis rank sum test,1
CHRNB4,IPH.bin,0.0012029540142924,0.972332016461007,1,Kruskal-Wallis rank sum test,1
CHRNB4,Macrophages.bin,1.41930979175132,0.233517041362692,1,Kruskal-Wallis rank sum test,1
CHRNB4,SMC.bin,1.29622932737903,0.254903130721957,1,Kruskal-Wallis rank sum test,1
COL4A1,Calc.bin,1.47290148531229,0.224888462086792,1,Kruskal-Wallis rank sum test,1
COL4A1,Collagen.bin,0.0350586324448143,0.851472851567275,1,Kruskal-Wallis rank sum test,1
COL4A1,epmajor.3years,2.73790911284379,0.0979929089222131,1,Kruskal-Wallis rank sum test,1
COL4A1,Fat.bin_10,2.6631354551942,0.102698110967099,1,Kruskal-Wallis rank sum test,1
COL4A1,Fat.bin_40,0.0658934445938807,0.797412545086826,1,Kruskal-Wallis rank sum test,1
COL4A1,IPH.bin,0.00320648610192649,0.954843247787284,1,Kruskal-Wallis rank sum test,1
COL4A1,Macrophages.bin,0.916143379657303,0.338489636553013,1,Kruskal-Wallis rank sum test,1
COL4A1,SMC.bin,0.671464329737334,0.412541540481833,1,Kruskal-Wallis rank sum test,1
COL4A2,Calc.bin,0.438903179924802,0.507652319283346,1,Kruskal-Wallis rank sum test,1
COL4A2,Collagen.bin,1.76733645352129,0.183712057680837,1,Kruskal-Wallis rank sum test,1
COL4A2,epmajor.3years,1.01234881182726,0.314340793257053,1,Kruskal-Wallis rank sum test,1
COL4A2,Fat.bin_10,3.56384168498651,0.0590509255215703,1,Kruskal-Wallis rank sum test,1
COL4A2,Fat.bin_40,0.322808920558062,0.569924456375243,1,Kruskal-Wallis rank sum test,1
COL4A2,IPH.bin,0.818267973279493,0.365687056858533,1,Kruskal-Wallis rank sum test,1
