genes,variables,statistic,p.value,parameter,method,padj
ADAMTS7,AsymptSympt2G,0.00920092534765564,0.923582955275408,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Calc.bin,1.68482504389568,0.194284549444276,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Collagen.bin,0.804844211924737,0.369648964875844,1,Kruskal-Wallis rank sum test,1
ADAMTS7,epmajor.3years,0.0113456778135463,0.915172888625145,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Fat.bin_10,2.81310663823539,0.0934971555036801,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Fat.bin_40,0.202328461399444,0.652847907345371,1,Kruskal-Wallis rank sum test,1
ADAMTS7,IPH.bin,0.338505970104353,0.560692876333065,1,Kruskal-Wallis rank sum test,1
ADAMTS7,Macrophages.bin,0.115033927519456,0.734484290041329,1,Kruskal-Wallis rank sum test,1
ADAMTS7,SMC.bin,0.0159570225398699,0.899477747658635,1,Kruskal-Wallis rank sum test,1
ADK,AsymptSympt2G,0.934600122183393,0.333670432123836,1,Kruskal-Wallis rank sum test,1
ADK,Calc.bin,0.721829270622912,0.395544530010916,1,Kruskal-Wallis rank sum test,1
ADK,Collagen.bin,1.45507627820819,0.227715164096807,1,Kruskal-Wallis rank sum test,1
ADK,epmajor.3years,0.168514010395082,0.681435844288865,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_10,0.00288445888284016,0.957168479312863,1,Kruskal-Wallis rank sum test,1
ADK,Fat.bin_40,0.0332041579361343,0.855410014417253,1,Kruskal-Wallis rank sum test,1
ADK,IPH.bin,0.375392641116869,0.540079390291337,1,Kruskal-Wallis rank sum test,1
ADK,Macrophages.bin,0.00440278486925753,0.947096402750235,1,Kruskal-Wallis rank sum test,1
ADK,SMC.bin,4.2621286379668,0.038971059061633,1,Kruskal-Wallis rank sum test,1
AP3M1,AsymptSympt2G,1.37129908488401,0.241588808321593,1,Kruskal-Wallis rank sum test,1
AP3M1,Calc.bin,0.239363428631042,0.624666258599615,1,Kruskal-Wallis rank sum test,1
AP3M1,Collagen.bin,1.77096514953333,0.183262679279289,1,Kruskal-Wallis rank sum test,1
AP3M1,epmajor.3years,0.280317360263059,0.596493283016387,1,Kruskal-Wallis rank sum test,1
