genes,plaque_phenotype,estimate,statistic,p.value,method,alternative,padj
ADAMTS7,MAC_rankNorm,-0.000417406822859383,37290214.6957341,0.99181176633242,Spearman's rank correlation rho,two.sided,1
ADAMTS7,MastCells_rankNorm,0.020012371282246,158463.999563661,0.844131664699019,Spearman's rank correlation rho,two.sided,1
ADAMTS7,Neutrophils_rankNorm,0.0676471981216658,174778.856240113,0.495041024485994,Spearman's rank correlation rho,two.sided,1
ADAMTS7,SMC_rankNorm,-0.114406469573858,41129867.6232796,0.00484046177794414,Spearman's rank correlation rho,two.sided,0.837399887584336
ADAMTS7,VesselDensity_rankNorm,0.00855936000889567,30440439.9154005,0.838566584803976,Spearman's rank correlation rho,two.sided,1
ADK,MAC_rankNorm,0.0547236820485212,35234849.576588,0.178148540007666,Spearman's rank correlation rho,two.sided,1
ADK,MastCells_rankNorm,-0.0463717010331061,169198.304057053,0.648549534407937,Spearman's rank correlation rho,two.sided,1
ADK,Neutrophils_rankNorm,0.0759397999130429,173224.325108301,0.443566639266016,Spearman's rank correlation rho,two.sided,1
ADK,SMC_rankNorm,-0.041376099618689,38434505.0865888,0.309606575884843,Spearman's rank correlation rho,two.sided,1
ADK,VesselDensity_rankNorm,0.0955164452734062,27770575.6568237,0.0226894203834163,Spearman's rank correlation rho,two.sided,1
AP3M1,MAC_rankNorm,-0.00685033759872412,37529999.9774763,0.866246275012385,Spearman's rank correlation rho,two.sided,1
AP3M1,MastCells_rankNorm,0.100861960628342,145390.620966397,0.320537318967071,Spearman's rank correlation rho,two.sided,1
AP3M1,Neutrophils_rankNorm,0.0544047537943428,177261.284853713,0.583333111287803,Spearman's rank correlation rho,two.sided,1
AP3M1,SMC_rankNorm,-0.0669779510081672,39379403.3685978,0.0997882046936281,Spearman's rank correlation rho,two.sided,1
AP3M1,VesselDensity_rankNorm,-0.0688174503983817,32816158.6957696,0.101028681675732,Spearman's rank correlation rho,two.sided,1
APOC1,MAC_rankNorm,0.0369209385002627,35898440.7182055,0.36384152874216,Spearman's rank correlation rho,two.sided,1
APOC1,MastCells_rankNorm,0.0540862338123935,152954.255992536,0.594929613150683,Spearman's rank correlation rho,two.sided,1
APOC1,Neutrophils_rankNorm,0.0608768542823791,176048.024896225,0.539287433851915,Spearman's rank correlation rho,two.sided,1
APOC1,SMC_rankNorm,-0.0983845160333154,40538538.6547383,0.0154859693608348,Spearman's rank correlation rho,two.sided,1
